dancing-lights,Creates torches or other lights.
daze,Humanoid creature of 4 HD or less loses next action.
detect-magic,Detects spells and magic items within 60 ft.
flare,Dazzles one creature (–1 on attack rolls).
ghost-sound,Figment sounds.
know-direction,You discern north.
light,Object shines like a torch.
lullaby,Makes subject drowsy
mage-hand,5-pound telekinesis.
mending,Makes minor repairs on an object.
message,Whisper conversation at distance.
open-close,Opens or closes small or light things.
prestidigitation,Performs minor tricks.
read-magic,Read scrolls and spellbooks.
resistance,Subject gains +1 on saving throws.
summon-instrument,Summons one musical instrument.
alarm,Wards an area for 2 hours/level.
animate-rope,Makes a rope move at your command.
cause-fear,One creature of 5 HD or less flees for 1d4 rounds.
charm-person,Makes one person your friend.
comprehend-languages,You understand all languages.
confusion-lesser,"One creature is <i><a href=""glossary.html#_confused"">confused</a> </i>for 1 round."
cure-light-wounds,Cures 1d8 damage + 1/level (max +5).
detect-secret-doors,Reveals hidden doors within 60 ft.
disguise-self,Changes your appearance.
erase,Mundane or magical writing vanishes.
expeditious-retreat,Your base land speed increases by 30 ft.
feather-fall,Objects or creatures fall slowly.
grease,Makes 10-ft. square or one object slippery.
hideous-laughter,Subject loses actions for 1 round/ level.
hypnotism,Fascinates 2d4 HD of creatures.
identify,Gives +10 bonus to identify magic items.
magic-aura,Alters object's magic aura.
magic-mouth,Objects speaks once when triggered.
obscure-object,"Masks object against <i><a href=""spells/scrying.html#_scrying"">scrying</a></i>."
remove-fear,Suppresses fear or gives +4 on saves against fear for one subject + one per four levels.
silent-image,Creates minor illusion of your design.
sleep,Puts 4 HD of creatures into magical slumber.
summon-monster-i,Summons extraplanar creature to fight for you.
undetectable-alignment,Conceals alignment for 24 hours.
unseen-servant,Invisible force obeys your commands.
ventriloquism,Throws voice for 1 min./level.
alter-self,Assume form of a Small or Medium humanoid.
animal-messenger,Sends a Tiny animal to a specific place.
animal-trance,Fascinates 2d6 HD of animals.
blindness-deafness,Makes subject blind or deaf.
blur,Attacks miss subject 20% of the time.
calm-emotions,"Calms creatures, negating emotion effects."
cat-s-grace,"Subject gains +4 to <a href=""gettingStarted.html#_dexterity"">Dex</a> for 1 min./level."
cure-moderate-wounds,Cures 2d8 damage + 1/level (max +10).
darkness,20-ft. radius of supernatural shadow.
daze-monster,Living creature of 6 HD or less loses next action.
